
ui_music_volume|Volume de Música:
ui_sound_volume|Volume de Som:
ui_mouse_sensitivity|Sensibilidade do Mouse:
ui_invert_mouse_y_axis|Inverter Mouse Y Axis
ui_enabled|Habilitado
ui_disabled|Desabilitado
ui_damage_to_player|Dano ao Jogador:
ui_reduced_to_1_over_4_easiest|Reduzido para 1/4 (Muito Fácil)
ui_reduced_to_1_over_2_easy|Reduzida para 1/2 (Fácil)
ui_damage_to_friends|Dano aos Amigos:
ui_reduced_to_1_over_2_easiest|Reduzido para 1/2 (Muito Fácil)
ui_reduced_to_3_over_4_easy|Reduzido para 3/4 (Fácil)
ui_normal|Normal
ui_combat_ai|I.A. de Combate:
ui_combat_speed|Movimento e Velocidade de Combate:
ui_good|Boa
ui_average_caps|Moderada
ui_poor|Pobre
ui_faster|Mais rápida
ui_slower|Mais lenta
ui_control_block_direction|Controle de Direção do Bloqueio:
ui_automatic_recommended|Automático
ui_manual_easy|Manual (Fácil)
ui_manual_hard|Manual (Difícil)
ui_by_mouse_movement|Pelo Movimento do Mouse
ui_control_attack_direction|Controle de Direção do Ataque:
ui_lance_control|Controle da Lança:
ui_by_relative_enemy_position|Pela Posição do Inimigo
ui_by_inverse_mouse_movement|Pelo Inverso do Mouse
ui_battle_size|Tamanho da Batalha (impacto no desempenho):
ui_show_attack_direction|Mostrar Direção do Ataque
ui_show_targeting_reticule|Mostrar Direcionamento de Retículo
ui_show_names_of_friendly_troops|Mostrar Estandartes nas Tropas Amigáveis
ui_report_damage|Relatar Danos
ui_report_shot_difficulty|Relatar Dificuldade de Tiro
ui_difficulty_rating_percentage|Estimativa de dificuldade = %d%%
ui_controls|Controles
ui_video_options|Opções de Vídeo
ui_done|Feito
ui_factions|Facções
ui_item_itemname|Item - %s
ui_prop_propname|Escora - %s
ui_unknown_unknownname|Desconhecido - %s
ui_entry_point_entrypointname|Ponto de Entrada %d
ui_passage_menu_item_passagename|Passagem (item de menu %d)
ui_plant_plantname|Planta - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Exportar arquivo para personagem %s já existe. Substituí-lo?
ui_yes|Sim
ui_no|Não
ui_set_save_file_name|Digite um nome para este jogo-salvo:
ui_enter_new_name|Digite um novo nome:
ui_export_character|Exportar Personagem
ui_import_character|Importar Personagem
ui_character_playername_exported_successfully|Personagem %s exportado com sucesso.
ui_character_playername_imported_successfully|Personagem %s importado com sucesso.
ui_unable_to_open_import_file|Incapaz de abrir o arquivo de importação.
ui_are_you_sure_you_want_to_import_the_character|Tem certeza que deseja importar o personagem?
ui_unable_to_find_character_import_file|Incapaz de encontrar o arquivo de importação do personagem.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade está executando no modo de teste. Por favor compre o jogo para a importação de um personagem.
ui_change_skin|Pele
ui_change_hair|Cabelo
ui_change_hair_color|Cor do cabelo
ui_change_beard|Barba
ui_tutorial|Tutorial
ui_tutorial_face_generator|Ajuste o rosto do personagem usando os botões e controles deslizantes. Para girar a cabeça, clique nela e arraste o mouse.
ui_restore|Carregar
ui_cancel|Cancelar
ui_delete|Excluir
ui_confirm_delete_game|Tem certeza que deseja excluir este jogo?
ui_error_removing_file|Erro ao remover arquivo...
ui_day_datedisplay|Dia %d (%d:%d%d)
ui_reset_changes|Desfazer Alterações
ui_weapon_proficiencies|Proficiências
ui_skills|Habilidades
ui_attributes|Atributos
ui_enter_name_here|* Inserir Nome Aqui *
ui_edit_face|Clique para editar o rosto
ui_statistics|Estatísticas
ui_next|Próxima
ui_prev|Anterior
ui_learn|Aprender
ui_question_saving_policy|Qual será a política de salvamento do jogo?
ui_saving_policy_realistic|Realista! Não se pode sair sem salvar!
ui_saving_policy_nonrealistic|Permita-me sair sem salvar.
ui_tutorial_character_generation|Agora digite seu nome e distribua seus pontos de Atributos,  Habilidades e Proficiências em Armas. Você pode clicar em vários elementos na tela para aprender como cada um irá afetar seu personagem.
ui_str|FORÇA
ui_agi|AGILI
ui_int|INTEL
ui_cha|CARIS
ui_at_learning_limit|(No Limite de Aprendizagem)
ui_not_enough_skill_points_to_learn|(Sem pontos de habilidade suficientes para aprender)
ui_strength|Força
ui_agility|Agilidade
ui_intelligence|Inteligência
ui_charisma|Carisma
ui_not_enough_attributetype_to_learn_this_skill|
ui_explanation_one_handed_weapon|Abrange o uso de espadas de uma mão, machados e armas de contusão.
ui_explanation_two_handed_weapon|Abrange o uso de espadas de duas mãos, machados grandes e marretas.
ui_explanation_polearm|Abrange uso de armas de haste como lanças, bastões, etc.
ui_explanation_archery|Abrange o uso de arcos.
ui_explanation_crossbow|Abrange o uso de bestas.
ui_explanation_throwing|Abrange o uso de armas de arremesso como dardos, lanças de arremesso, pedras etc.
ui_explanation_firearms|Abrange o uso de fundas.
ui_explanation_strength|Força: Cada ponto adiciona +1 para Vitalidade. As seguintes Habilidades não podem ser desenvolvidas para além de 1/2 dos pontos de Força: Carne de Ferro, Força de Ataque, Arremesso, Arquerismo, e Gestão de Inventário. A cada 5 níveis, você recebe um ponto extra para adicionar a atributos como este.
ui_explanation_agility|Agilidade: Cada ponto dá cinco pontos de Proficiência em Armas e aumenta levemente a velocidade de movimento. As seguintes Habilidades não podem ser desenvolvidas para além de 1/2 de Agilidade: Mestre de Armas, Detecção, Atletismo, Equitação, Deslocamento e Pilhagem. A cada 5 níveis, você recebe um ponto extra para adicionar a atributos como este.
ui_explanation_intelligence|Inteligência: Cada ponto de Inteligência dá imediatamente um ponto extra de Habilidade. As seguintes Habilidades não podem ser desenvolvidas para além de 1/2 de Inteligência: Treinador, Rastreamento, Táticas, Tratamento de Feridas, Cirurgia, Primeiros Socorros, Engenharia, Navegação e Manutenção de Arma. A cada 5 níveis, você recebe um ponto extra para adicionar a atributos como este.
ui_explanation_charisma|Carisma: Afeta diálogos, sedução e como os outros te vêem. Cada ponto aumenta seu Limite da Tropa em +1. As seguintes Habilidades não podem ser desenvolvidas para além de 1/2 do nível de Carisma: Rei Marítimo, Liderança, Persuasão, Comércio. A cada 5 níveis, recebe um ponto extra para adicionar a atributos como este.
ui_level|Nível: %d
ui_xp|Experiência: %d
ui_next_level_at|Próximo nível: %d
ui_health_player|Vitalidade: %d/%d
ui_health|Saúde: %d
ui_attribute_points|Pontos de Atributos: %d
ui_skill_points|Pontos de Habilidades: %d
ui_weapon_points|Pontos de Proficiência em Armas: %d
ui_mission_losses_none| Nenhum.
ui_mission_losses_wounded|Feridos:
ui_mission_losses_killed|Mortos:
ui_party_losses|%s: %d Feridos --- %d Mortos de %d.
