menu_start_game_0|Benvenuto in Viking Conquest.
menu_start_phase_2|{s1}
mno_continue_i|Continua...
mno_continue_cheat|Salta il Tutorial
mno_go_back_dot|Indietro.
menu_start_game_3|Scegli lo scenario:
mno_go_back|Indietro
menu_tutorial|Ti avvicini a un campo dove i locali stanno facendo pratica con le armi. Puoi fare pratica qui per migliorare le tue abilità di combattimento.
mno_continue|Continua...
menu_reports|Fama del Personaggio: {reg5}^Livello d'Onore: {reg6}^Morale della Compagnia: {reg8}^Limite di Dimensione della Compagnia: {reg7}^
mno_resume_travelling|Torna al viaggio.
menu_start_phase_2x|Indietro
menu_start_phase_22|{s1}
mno_town_4|Continua.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|La battaglia è finita. {s1} La tua fazione ha ucciso {reg5} nemici e perso {reg6} truppe durante la battaglia. Tu hai messo fuori combattimento o ucciso {reg7} avversari in battaglia.
menu_start_game_2|Benvenuto in Viking Conquest.
menu_start_game_1|Benvenuto in Viking Conquest.
menu_start_game_11|Esci?
menu_start_game_4|Hai fatto delle scelte. Non sarà possibile cambiare le tue preferenze dopo l'inizio dell partita. Vuoi continuare con le scelte fatte?
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
mno_continue_rep|Continua...
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Sei nell'accampamento. Cosa vuoi fare?
mno_camp_action|Fai un'azione.
mno_camp_wait_here|Aspetta qui per un po' di tempo.
menu_camp_action_rest|Il Campo permette ai tuoi uomini di riposare per riprendersi dal duro viaggio. Inoltre consente di sfamarsi e Aumentare le scorte di Cibo. Questo è particolarmente utile durante una campagna in territorio nemico, dove  e difficile comprare rifornimenti.
menu_build_refuge_new|I tuoi uomini attendono il tuo ordine per iniziare a costruire il rifugio. C'è abbastanza materiale raccolto fino ad ora, e ciò che manca può essere acquistato nei villaggi vicini ^^ Costo totale:.. 1000 peningas ^ Tempo necessario: 6 ore.
mno_refuge_here|Così Ordino.
menu_camp_cheat|Seleziona un trucco:
mno_camp_cheat_find_item|Trova un oggetto...
mno_testing_cheats|Trucco Rapido.
mno_back_to_camp_menu|Torna al menù del campo.
menu_cheat_testing_cheats1|Seleziona un trucco:
menu_storyline_cheat|Seleziona un trucco:
mno_back_cm|Indietro.
menu_camp_action|Fai un'azione:
mno_toggle_cheat_on|Attiva Visualizza menu trucchi.
mno_toggle_cheat_off|Disattiva Visualizza menu trucchi
mno_camp_action_4|Torna al menù del campo.
menu_camp_recruit_prisoners|Offri a dei prigionieri la libertà se accettano di diventare tuoi soldati. {s18}
mno_camp_recruit_prisoners_accept|Reclutali.
mno_camp_recruit_prisoners_half|Recluta metà di loro.
mno_camp_recruit_prisoners_reject|Rifiutali.
menu_camp_no_prisoners|Non ci sono prigionieri da reclutare.
menu_camp_action_read_book|Scegli un libro da leggere:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Sei al giorno {reg0}. I tuoi averi sono {reg1}. Sei sicuro di volerti ritirare?
mno_retire_yes|Si.
mno_retire_no|No.
menu_end_game|La decisione è presa, hai la risolutezza di abbandonare la vita avventurosa e stabilirti in una città. Vendi le tue armi e armature, raccogli tutte le tue ricchezze, e ti allontani cavalcando verso il tramonto....
mno_end_game_bye|Addio.
menu_cattle_herd|Hai incontrato una mandria di bestiame.
mno_cattle_drive_away|Guida la mandria.
mno_cattle_stop|Ferma la mandria.
mno_cattle_kill|Macella qualche animale.
mno_leave|Lascia.
menu_cattle_herd_kill|Quanti animali vuoi macellare?
mno_cattle_kill_1|Uno.
mno_cattle_kill_2|Due.
mno_cattle_kill_3|Tre.
mno_cattle_kill_4|Quattro.
mno_cattle_kill_5|Cinque.
mno_cattle_kill_20|Venti.
menu_arena_duel_fight|Un duello è una cosa molto seria, soprattutto se è la morte. In due entrare nel cerchio, ma solo uno viene fuori ... ^^ il corpo e la mente reagiscono allo stress e al pericolo. Si sente il sudore freddo sotto le ascelle, il tipo che viene a prescindere dal fatto che sia o non caldo. E' il sudore della lotta, e la sua presenza indica che si ... sei pronto.
menu_simple_encounter|{s2} Tu hai {reg10} truppe pronte per la battaglia contro le sue {reg11}.^^{s7}
mno_playerambush_attack|Attacco in un'Imboscata.
mno_ambush_attack|Difesa da un'Imboscata.
mno_encounter_attack|{s7} il nemico.
mno_encounter_deploy|Inizia la Battaglia mantenendo la Posizione.
mno_encounter_order_attack|Ordina alle tue truppe di attaccare senza di te.
mno_tactical_nuevo|Ordini del Comandante.
mno_encounter_leave|Lascia.
mno_encounter_retreat|Scappa, lasciando alcuni soldati indietro per coprirti la ritirata.
mno_encounter_surrender|Arrendetevi.
menu_encounter_retreat_confirm|Come membro della Compagnia con la migliore capacità tattica, ({reg2}), {reg3?decidi:{s3} consiglia} di formulare un piano che permetterà a te e ai tuoi uomini di fuggire, ma dovrai lasciare {reg4} soldati indietro a fermare il nemico. 
mno_leave_behind|Andiamo. Il sacrificio di questi uomini salverà tutti gli altri.
mno_dont_leave_behind|No. Non lasciamo indietro nessuno.
menu_encounter_retreat|Ordini a {reg4} dei tuoi soldati di fermare il nemico mentre ti ritiri con il resto della Compagnia.
menu_order_attack_begin|Le tue truppe si preparano ad attaccare il nemico.
mno_order_attack_begin|Ordina l'Inizio dell'Attacco.
